Website,Country,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games,Launched products,Revenue,Selling from a website,Distribution platform,Payment gateway or service (for direct selling websites),Project scale assessment,Simplified classification of studios,Publisher + producing its games,Custom games + studio’s own games,Making the first game,Possibly out of business
convoy-games.com/,Netherlands,Convoy Games,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
cool-bears.com/index.html,Azerbaijan,Cool Bears,?,X,X,X,?,?,?,6,?,?,X,?,3,C,?,?,?,?
coolgames.com/,Netherlands,Cool Games,?,X,X,?,?,?,X,18,?,?,X,?,3,C,?,?,?,?
coopinnovations.co.uk/,UK,Cooperative Innovations,?,X,?,X,X,?,?,2,?,?,X,?,4,B,?,?,?,?
cooply.com/,UK,Cooply Solutions,?,X,X,?,?,X,?,8,?,?,X,?,5,B,?,?,?,?
cornfox.com/,Finland,Cornfox & Brothers,?,X,X,?,?,X,?,3,?,?,X,?,8,A,?,?,?,?
cornutopia.co.uk/cornutopia/,UK,Cornutopia Software,?,X,?,?,?,?,?,18,?,O,X,digitalriver.com/,4,B,?,?,?,?
corporate.moviestarplanet.com/,Denmark,MovieStarPlanet,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
corpwebgames.com/,Russia,WebGames,?,X,X,?,?,?,?,40,?,?,X,?,6,B,?,?,?,?
cortopia.com/,Sweden,Cortopia Studios,?,X,?,X,X,?,?,1,?,?,X,?,4,B,?,?,?,?
cosmonautstudios.co.uk/,UK,Cosmonaut Studios,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
crackshell.dk/,Sweden,Crackshell,?,X,?,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
craftinglegends.com/,Germany,Crafting Legends,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
craneballs.com/,Czech Republic,Craneballs,?,X,X,?,?,?,?,20,?,?,X,?,6,B,?,?,?,?
