latitude,longitude,Country,Website,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games
51.919438,19.145136,Poland,ansharstudios.com/,Ansharstudios,?,X,X,X,?,?,?
,,UK,ant-workshop.com/,Ant Workshop Ltd,?,X,X,?,?,?,?
60.472024,8.468946,Norway,antagonist.no/,Antagonist,?,X,?,?,?,?,?
60.472024,8.468946,Norway,antagonistgames.wixsite.com/home,Antagonist Games,1C,X,?,?,?,?,?
,,UK,antimattergames.com/,Antimatter Games,?,X,?,?,?,?,?
60.128161,18.643501,Sweden,antlerinteractive.com/,Antler Interactive,?,X,X,X,?,?,?
61.52401,105.318756,Russia,apexpoint.com/,ApexPoint,?,?,X,?,?,?,?
53.709807,27.953389,Belarus,apm2.studio/,APM2 Studio,?,?,X,?,?,?,?
60.128161,18.643501,Sweden,apoapsisstudios.com/,Apoapsis Studios,?,X,?,?,?,?,?
50.503887,4.469936,Belgium,appeal-studios.com/,Appeal Studios,?,X,?,?,?,X,?
55.169438,23.881275,Lithuania,applava.com/,Applava,?,X,X,?,?,X,?
60.128161,18.643501,Sweden,apprope.com/,Apprope,?,?,X,?,?,?,?
39.399872,-8.224454,Portugal,apps.lisbonlabs.com/,Lisbonlabs,?,?,X,?,?,?,?
61.52401,105.318756,Russia,appsministry.com/,Apps Ministry,?,?,X,?,?,?,?
,,UK,appynation.com/,AppyNation,?,?,X,?,?,?,?
60.128161,18.643501,Sweden,arcticfoxgamestudios.com/,Arctic Fox Game Studios,?,X,?,?,?,?,?
46.227638,2.213749,France,arkane-studios.com/en,Arkane Studios,?,X,?,?,?,X,?
61.92411,25.748151,Finland,armadainteractive.com/,Armada interactive,?,?,X,?,?,?,?
61.52401,105.318756,Russia,armaturgames.com/,Armatur Games,?,X,X,?,?,?,?
60.128161,18.643501,Sweden,arrowheadgamestudios.com/,Arrowhead Studios,?,X,?,?,?,X,?
51.919438,19.145136,Poland,art-games.com/,Art Games Studio S.A.,Art Games Studio S.A.,X,?,?,?,?,?
